"","p1","c1","c2","c3","c4","c5","c6"
"112","ID_26","ID_34","ID_27","ID_36","ID_32","0_ID_NA","0_ID_NA"
"113","ID_3","ID_4","ID_143","ID_171","ID_35","ID_184","ID_98"
"114","ID_79","ID_77","ID_81","ID_2","ID_157","ID_95","0_ID_NA"
"115","ID_4","ID_3","ID_62","ID_94","ID_32","ID_152","ID_141"
"116","ID_29","ID_5","ID_82","ID_137","ID_46","ID_45","ID_86"
"117","ID_28","ID_25","ID_133","ID_78","ID_15","ID_126","ID_84"
"118","ID_5","ID_29","ID_45","ID_137","ID_82","ID_35","ID_86"
"119","ID_2","ID_77","ID_79","ID_95","ID_42","ID_74","ID_69"
"120","ID_55","ID_49","ID_51","ID_80","ID_50","ID_75","ID_45"
"121","ID_51","ID_50","ID_49","ID_55","ID_81","ID_77","ID_46"
"122","ID_80","ID_137","ID_44","ID_55","0_ID_NA","ID_50","0_ID_NA"
"123","ID_81","ID_157","ID_130","ID_19","ID_77","ID_69","ID_79"
"124","ID_52","ID_12","ID_92","ID_116","ID_94","ID_181","ID_83"
"125","ID_48","ID_53","ID_83","ID_47","ID_52","ID_136","ID_80"
"126","ID_45","ID_82","ID_46","ID_29","ID_5","ID_44","ID_137"
"127","ID_46","ID_45","ID_82","ID_137","ID_44","ID_5","ID_29"
"128","ID_44","ID_82","ID_45","ID_137","ID_46","ID_5","ID_29"
"129","ID_82","ID_44","ID_45","ID_137","ID_86","ID_29","ID_5"
"130","ID_53","ID_52","ID_116","ID_177","ID_91","ID_136","ID_83"
"131","ID_83","ID_52","ID_177","ID_136","ID_94","ID_90","ID_53"
"132","ID_49","ID_50","ID_51","ID_55","ID_46","ID_81","ID_77"
"133","ID_47","ID_23","ID_116","ID_53","ID_83","ID_52","ID_183"
"134","ID_50","ID_50","ID_45","ID_51","ID_5","ID_137","ID_80"
"135","ID_84","ID_6","ID_7","ID_85","ID_102","ID_147","0_ID_NA"
"136","ID_1","ID_19","ID_157","ID_130","ID_37","ID_158","ID_88"
"137","ID_9","ID_86","ID_178","ID_167","ID_177","ID_116","ID_96"
"138","ID_85","ID_6","ID_84","ID_7","0_ID_NA","0_ID_NA","0_ID_NA"
"139","ID_86","ID_174","ID_165","ID_9","ID_167","ID_82","ID_88"
"140","ID_8","ID_71","ID_86","ID_174","ID_165","ID_167","ID_9"
"141","ID_6","ID_7","ID_84","ID_85","ID_61","ID_102","ID_147"
"142","ID_7","ID_6","ID_61","ID_84","ID_56","ID_85","ID_78"
"143","ID_87","ID_150","ID_88","ID_102","ID_147","0_ID_NA","0_ID_NA"
"144","ID_88","ID_150","ID_87","ID_102","ID_147","ID_86","ID_1"
"145","ID_64","ID_121","ID_183","ID_178","ID_169","ID_181","ID_146"
"146","ID_58","ID_154","ID_60","ID_59","ID_80","0_ID_NA","0_ID_NA"
"147","ID_56","ID_61","ID_63","ID_72","ID_78","ID_7","ID_118"
"148","ID_60","ID_58","ID_56","ID_154","ID_61","ID_59","ID_63"
"149","ID_61","ID_56","ID_72","ID_63","ID_7","ID_78","ID_6"
"150","ID_59","ID_154","ID_58","ID_75","ID_103","ID_101","ID_158"
"151","ID_38","ID_158","ID_39","ID_110","ID_14","ID_37","0_ID_NA"
"152","ID_40","ID_143","ID_138","ID_180","ID_145","ID_169","ID_122"
"153","ID_39","ID_71","ID_104","ID_163","ID_128","ID_119","ID_65"
"154","ID_22","ID_20","ID_21","ID_15","ID_19","ID_130","ID_70"
"155","ID_21","ID_20","ID_22","ID_70","0_ID_NA","0_ID_NA","0_ID_NA"
"156","ID_19","ID_130","ID_1","ID_157","ID_20","ID_37","ID_22"
"157","ID_20","ID_22","ID_19","ID_70","ID_21","0_ID_NA","0_ID_NA"
"158","ID_89","ID_18","ID_142","ID_57","0_ID_NA","0_ID_NA","0_ID_NA"
"159","ID_18","ID_23","ID_57","ID_132","ID_47","ID_17","0_ID_NA"
"160","ID_13","ID_31","ID_173","ID_92","ID_68","ID_16","ID_94"
"161","ID_67","ID_14","ID_159","ID_69","ID_77","ID_50","ID_66"
"162","ID_68","ID_169","ID_97","ID_167","ID_16","ID_184","ID_94"
"163","ID_15","ID_7","ID_56","ID_72","ID_61","ID_78","ID_133"
"164","ID_16","ID_94","ID_181","ID_167","ID_3","ID_68","ID_92"
"165","ID_66","ID_69","ID_159","ID_93","ID_14","ID_130","ID_81"
"166","ID_90","ID_92","ID_11","ID_12","ID_140","ID_3","ID_47"
"167","ID_91","ID_52","ID_94","ID_12","ID_83","ID_92","ID_107"
"168","ID_92","ID_94","ID_107","ID_12","0_ID_NA","ID_182","ID_52"
"169","ID_93","ID_159","ID_66","ID_69","ID_14","0_ID_NA","0_ID_NA"
"170","ID_41","ID_134","ID_138","ID_115","ID_166","ID_171","ID_99"
"171","ID_71","ID_110","ID_104","ID_39","ID_153","ID_118","ID_105"
"172","ID_73","ID_126","ID_75","ID_15","ID_133","ID_28","ID_84"
"173","ID_74","ID_105","ID_139","ID_170","ID_73","ID_41","ID_156"
"174","ID_43","ID_120","ID_108","ID_139","ID_123","ID_166","ID_99"
"175","ID_84","ID_133","ID_25","ID_28","ID_73","ID_7","0_ID_NA"
"176","ID_7","ID_6","ID_147","ID_102","ID_61","ID_84","ID_56"
"177","ID_6","ID_85","ID_102","ID_51","ID_147","ID_117","0_ID_NA"
"178","ID_85","ID_6","ID_117","ID_51","ID_9","ID_125","ID_88"
"179","ID_88","ID_9","ID_87","ID_117","ID_86","ID_167","ID_85"
"180","ID_9","ID_88","ID_86","ID_167","ID_85","ID_87","ID_117"
"181","ID_8","ID_86","ID_165","ID_174","ID_35","ID_9","ID_167"
"182","ID_86","ID_8","ID_167","ID_165","ID_82","ID_174","ID_35"
"183","ID_87","ID_88","ID_174","ID_150","ID_86","0_ID_NA","0_ID_NA"
"184","ID_1","ID_33","ID_19","ID_37","0_ID_NA","0_ID_NA","0_ID_NA"
"185","ID_55","ID_49","ID_80","ID_51","ID_50","ID_75","ID_46"
"186","ID_49","ID_50","ID_55","ID_80","ID_81","ID_77","0_ID_NA"
"187","ID_52","ID_83","ID_92","ID_12","ID_94","ID_53","ID_47"
"188","ID_82","ID_44","ID_165","ID_86","ID_137","ID_174","ID_29"
"189","ID_48","ID_132","ID_136","ID_177","ID_53","ID_47","ID_96"
"190","ID_53","ID_52","ID_83","ID_136","ID_116","ID_177","ID_96"
"191","ID_83","ID_52","ID_53","ID_116","ID_94","ID_177","ID_96"
"192","ID_44","ID_82","ID_29","ID_137","ID_46","ID_5","ID_45"
"193","ID_50","ID_49","ID_46","ID_137","ID_79","ID_44","ID_5"
"194","ID_46","ID_45","ID_5","ID_29","ID_82","ID_44","ID_137"
"195","ID_45","ID_46","ID_82","ID_29","ID_5","ID_137","ID_44"
"196","ID_78","ID_61","ID_56","ID_72","ID_63","ID_7","0_ID_NA"
"197","ID_94","ID_62","ID_35","ID_12","ID_3","ID_52","ID_32"
"198","ID_33","ID_126","ID_131","ID_35","ID_25","0_ID_NA","0_ID_NA"
"199","ID_35","ID_8","ID_174","ID_184","ID_94","ID_86","ID_82"
"200","ID_26","ID_34","ID_27","ID_31","0_ID_NA","0_ID_NA","0_ID_NA"
"201","ID_25","ID_84","ID_133","ID_56","ID_61","ID_28","ID_7"
"202","ID_29","ID_5","ID_82","ID_46","ID_45","ID_78","ID_50"
"203","ID_28","ID_133","ID_15","ID_84","ID_25","0_ID_NA","0_ID_NA"
"204","ID_36","ID_107","ID_92","ID_32","ID_11","ID_161","ID_31"
"205","ID_4","ID_3","ID_144","ID_32","ID_53","ID_105","ID_152"
"206","ID_34","ID_26","ID_4","ID_27","ID_36","ID_31","ID_94"
"207","ID_5","ID_29","ID_78","ID_46","ID_44","ID_45","ID_137"
"208","ID_31","ID_34","ID_26","ID_27","ID_4","ID_32","ID_173"
"209","ID_27","ID_34","ID_26","ID_31","ID_111","0_ID_NA","0_ID_NA"
"210","ID_95","ID_2","ID_118","ID_105","ID_104","ID_35","ID_174"
"211","ID_2","ID_77","ID_95","ID_78","ID_42","ID_74","ID_79"
"212","ID_30","ID_5","ID_29","ID_137","ID_77","ID_78","ID_35"
"213","ID_3","ID_32","ID_94","ID_181","ID_98","ID_62","ID_184"
"214","ID_32","ID_181","ID_62","ID_3","ID_12","ID_94","ID_4"
"215","ID_94","ID_12","ID_35","ID_62","ID_3","ID_52","ID_83"
"216","ID_62","ID_94","ID_12","ID_83","ID_52","ID_35","ID_29"
"217","ID_2","ID_79","ID_77","ID_95","ID_81","ID_42","ID_74"
"218","ID_36","ID_32","ID_31","ID_3","ID_4","0_ID_NA","ID_94"
"219","ID_79","ID_77","ID_2","ID_81","ID_95","ID_42","ID_157"
"220","ID_32","ID_36","ID_31","ID_3","ID_77","ID_52","ID_94"
"221","ID_77","ID_79","ID_130","ID_2","ID_81","ID_95","ID_157"
"222","ID_33","ID_126","ID_77","ID_73","ID_79","ID_7","ID_6"
"223","ID_95","ID_2","ID_79","ID_35","ID_105","ID_77","ID_118"
"224","ID_35","ID_71","ID_95","ID_143","ID_62","ID_3","ID_153"
"225","ID_27","ID_26","ID_34","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"226","ID_34","ID_26","ID_36","ID_27","ID_94","ID_32","ID_52"
"227","ID_28","ID_133","ID_15","ID_25","ID_78","ID_84","ID_126"
"228","ID_5","ID_29","ID_45","ID_46","ID_137","ID_82","ID_86"
"229","ID_29","ID_5","ID_30","ID_82","ID_137","ID_46","ID_45"
"230","ID_30","ID_29","ID_5","ID_35","ID_46","ID_137","ID_82"
"231","ID_4","ID_3","ID_181","ID_177","ID_62","ID_94","ID_32"
"232","ID_3","ID_4","ID_52","ID_92","ID_35","ID_181","ID_32"
"233","ID_31","ID_173","ID_67","ID_150","ID_14","ID_13","0_ID_NA"
"234","ID_78","ID_56","ID_25","ID_61","ID_72","ID_63","ID_46"
"235","ID_26","ID_34","ID_27","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"236","ID_25","ID_78","ID_72","ID_56","ID_28","ID_84","ID_61"
"237","ID_84","ID_7","ID_6","ID_147","ID_85","ID_102","0_ID_NA"
"238","ID_86","ID_8","ID_174","ID_165","ID_167","ID_9","ID_88"
"239","ID_87","ID_88","ID_174","ID_117","ID_86","0_ID_NA","0_ID_NA"
"240","ID_88","ID_87","ID_117","ID_86","ID_174","0_ID_NA","0_ID_NA"
"241","ID_1","ID_37","ID_19","ID_157","ID_130","ID_81","0_ID_NA"
"242","ID_6","ID_85","ID_84","ID_61","ID_7","ID_147","ID_102"
"243","ID_85","ID_6","ID_102","ID_84","ID_125","ID_50","ID_98"
"244","ID_7","ID_84","ID_6","ID_56","ID_85","ID_61","ID_24"
"245","ID_9","ID_167","ID_152","ID_135","ID_8","ID_86","ID_47"
"246","ID_8","ID_35","ID_118","ID_86","ID_174","ID_165","ID_71"
"247","ID_80","ID_55","ID_49","ID_137","ID_44","ID_58","0_ID_NA"
"248","ID_96","ID_136","ID_52","ID_54","ID_177","ID_53","ID_116"
"249","ID_55","ID_49","ID_51","ID_50","ID_75","ID_127","ID_80"
"250","ID_53","ID_52","ID_136","ID_177","ID_83","ID_96","ID_183"
"251","ID_50","ID_49","ID_79","ID_51","ID_137","ID_38","ID_80"
"252","ID_49","ID_50","ID_55","ID_51","ID_79","ID_81","ID_80"
"253","ID_82","ID_44","ID_29","ID_86","ID_137","ID_5","ID_45"
"254","ID_51","ID_81","ID_49","ID_50","ID_55","ID_77","ID_80"
"255","ID_48","ID_53","ID_47","ID_52","ID_83","ID_96","ID_132"
"256","ID_52","ID_92","ID_94","ID_83","ID_12","ID_3","ID_181"
"257","ID_44","ID_82","ID_29","ID_137","ID_46","ID_5","ID_45"
"258","ID_47","ID_116","ID_53","ID_52","ID_176","ID_83","ID_136"
"259","ID_54","ID_52","ID_136","ID_94","ID_177","ID_12","ID_116"
"260","ID_46","ID_45","ID_82","ID_5","ID_29","ID_137","ID_44"
"261","ID_45","ID_46","ID_29","ID_5","ID_82","ID_137","ID_44"
"262","ID_81","ID_77","ID_157","ID_130","ID_79","ID_69","ID_19"
"263","ID_23","ID_57","ID_175","ID_17","ID_142","ID_18","0_ID_NA"
"264","ID_19","ID_130","ID_37","ID_157","ID_20","ID_1","ID_21"
"265","ID_22","ID_15","ID_21","ID_20","ID_70","0_ID_NA","0_ID_NA"
"266","ID_21","ID_20","ID_19","ID_22","ID_15","ID_70","0_ID_NA"
"267","ID_17","ID_23","ID_57","ID_142","ID_179","ID_172","ID_138"
"268","ID_20","ID_21","ID_22","ID_70","ID_19","ID_15","ID_133"
"269","0_ID_NA","ID_159","ID_66","ID_69","ID_14","0_ID_NA","0_ID_NA"
"270","ID_15","ID_72","ID_73","ID_78","ID_106","ID_28","ID_133"
"271","ID_14","ID_67","ID_66","ID_69","ID_2","ID_77","ID_81"
"272","ID_90","ID_92","ID_12","ID_94","ID_52","ID_3","ID_181"
"273","ID_11","ID_135","ID_123","ID_107","ID_92","ID_12","ID_96"
"274","ID_13","ID_31","ID_173","ID_16","ID_68","ID_92","ID_94"
"275","ID_66","ID_69","ID_130","ID_159","ID_93","ID_37","ID_14"
"276","ID_16","ID_68","ID_12","ID_94","ID_92","ID_11","ID_13"
"277","ID_12","ID_92","ID_94","ID_52","ID_164","ID_11","ID_107"
"278","ID_67","ID_14","ID_77","ID_2","ID_79","ID_81","ID_69"
"279","ID_97","ID_68","ID_115","ID_143","ID_146","ID_169","ID_40"
"280","ID_68","ID_115","ID_169","ID_146","ID_143","ID_167","ID_40"
"281","ID_91","ID_52","ID_92","ID_12","ID_94","ID_16","0_ID_NA"
"282","ID_69","ID_66","ID_93","ID_159","ID_14","ID_67","ID_77"
"283","ID_37","ID_38","ID_19","ID_158","ID_157","ID_98","ID_66"
"284","ID_65","ID_119","ID_128","ID_153","ID_104","ID_39","ID_152"
"285","ID_39","ID_71","ID_128","ID_104","ID_153","ID_65","ID_163"
"286","ID_38","ID_98","ID_158","ID_37","ID_39","ID_114","ID_152"
"287","ID_98","ID_35","ID_8","ID_152","ID_122","ID_38","ID_109"
"288","ID_40","ID_143","ID_152","ID_169","ID_114","ID_115","ID_105"
"289","ID_71","ID_104","ID_148","ID_153","ID_39","ID_110","ID_105"
"290","ID_74","ID_105","ID_170","ID_118","ID_2","ID_41","ID_110"
"291","ID_43","ID_108","ID_139","ID_99","ID_120","ID_166","ID_135"
"292","ID_42","ID_170","ID_156","ID_2","ID_77","ID_79","ID_130"
"293","ID_41","ID_134","ID_171","ID_138","ID_115","ID_167","ID_146"
"294","ID_72","ID_56","ID_61","ID_75","ID_125","ID_126","ID_24"
"295","ID_73","ID_126","ID_75","ID_125","ID_72","ID_15","ID_133"
"296","ID_75","ID_127","ID_125","ID_55","ID_6","ID_85","ID_61"
"297","ID_99","ID_171","ID_143","ID_134","ID_146","ID_166","ID_41"
"298","ID_57","ID_23","ID_132","ID_48","ID_18","ID_17","ID_121"
"299","ID_60","ID_154","ID_58","ID_59","ID_56","ID_113","ID_61"
"300","ID_64","ID_96","ID_183","ID_178","ID_121","ID_181","ID_146"
"301","ID_59","ID_58","ID_154","ID_60","ID_158","ID_113","0_ID_NA"
"302","ID_56","ID_61","ID_72","ID_63","ID_78","ID_7","ID_25"
"303","ID_58","ID_59","ID_154","ID_60","ID_80","0_ID_NA","0_ID_NA"
"304","ID_61","ID_56","ID_118","ID_63","ID_78","ID_72","ID_7"
"305","ID_100","ID_155","ID_142","ID_146","ID_179","ID_4","ID_152"
"306","ID_63","ID_56","ID_61","ID_78","ID_7","ID_118","ID_72"
