,p1,c1,c2,c3,c4,c5,c6
30,ID_17,ID_68,ID_38,ID_35,ID_74,ID_1,ID_81
31,ID_21,ID_26,ID_16,ID_70,ID_69,ID_9,ID_31
32,ID_19,ID_81,ID_68,ID_17,ID_20,ID_7,ID_40
33,ID_13,ID_29,ID_53,ID_83,ID_65,0_ID_NA,ID_84
34,ID_14,ID_13,ID_2,ID_53,ID_29,0_ID_NA,ID_48
35,ID_5,ID_46,0_ID_NA,0_ID_NA,0_ID_NA,0_ID_NA,0_ID_NA
36,ID_4,ID_57,ID_5,ID_18,ID_61,ID_40,ID_39
37,ID_3,ID_50,ID_34,ID_28,ID_35,ID_75,ID_56
38,ID_2,ID_14,ID_83,ID_13,ID_29,ID_81,ID_75
39,ID_24,ID_32,ID_34,ID_84,ID_29,ID_53,ID_14
40,ID_6,ID_39,ID_46,ID_61,ID_64,ID_76,ID_62
41,ID_1,ID_74,ID_35,ID_79,ID_81,ID_68,ID_17
42,ID_7,ID_75,ID_43,ID_23,ID_36,ID_50,ID_11
43,ID_25,ID_57,ID_59,ID_58,ID_15,ID_36,ID_50
44,0_ID_NA,0_ID_NA,ID_83,ID_2,0_ID_NA,0_ID_NA,ID_32
45,ID_9,ID_15,ID_43,ID_20,ID_21,ID_45,ID_26
46,ID_11,ID_66,ID_10,ID_67,ID_30,ID_12,ID_52
47,ID_10,ID_12,ID_36,ID_52,ID_23,ID_11,ID_66
48,ID_12,ID_67,ID_66,ID_10,ID_16,ID_52,ID_11
49,ID_23,ID_7,ID_51,ID_43,ID_48,ID_36,ID_72
50,ID_9,ID_52,ID_36,ID_58,ID_60,ID_57,ID_30
51,0_ID_NA,ID_32,0_ID_NA,0_ID_NA,0_ID_NA,ID_70,0_ID_NA
52,ID_22,ID_27,ID_69,ID_18,ID_16,ID_70,ID_31
53,ID_24,ID_47,ID_80,ID_84,ID_82,ID_53,ID_34
54,ID_18,ID_70,ID_16,ID_22,ID_4,ID_42,ID_69
55,ID_7,ID_43,ID_19,ID_30,ID_75,ID_15,ID_20
56,ID_4,ID_40,ID_18,ID_57,0_ID_NA,ID_55,ID_5
57,ID_16,ID_4,ID_22,ID_69,ID_55,ID_12,0_ID_NA
58,ID_2,ID_13,ID_80,ID_14,ID_65,ID_79,ID_83
59,ID_14,ID_13,ID_2,ID_53,ID_37,ID_48,ID_29
60,ID_13,ID_14,ID_2,ID_29,ID_83,ID_56,ID_3
61,ID_21,ID_26,ID_9,ID_70,ID_49,ID_31,0_ID_NA
62,ID_3,ID_56,ID_28,ID_44,ID_73,ID_35,ID_34
63,ID_15,ID_20,ID_40,ID_72,ID_45,ID_50,ID_30
64,ID_20,ID_15,ID_45,ID_78,ID_40,ID_58,ID_7
65,ID_25,ID_10,ID_58,ID_57,ID_63,ID_59,ID_36
66,ID_5,ID_46,0_ID_NA,0_ID_NA,0_ID_NA,0_ID_NA,0_ID_NA
67,ID_1,ID_74,ID_81,ID_35,ID_19,ID_79,ID_29
68,ID_6,ID_39,ID_65,ID_61,ID_37,ID_76,ID_46
69,ID_17,ID_68,ID_74,ID_35,ID_1,ID_38,ID_19
70,ID_19,ID_81,ID_35,ID_7,ID_74,ID_1,ID_79
71,ID_11,ID_66,ID_9,ID_67,ID_30,ID_12,ID_49
72,ID_12,ID_10,ID_49,ID_23,ID_66,ID_67,ID_16
73,ID_23,ID_7,ID_33,ID_44,ID_10,ID_11,ID_72
74,ID_26,ID_21,ID_70,ID_31,ID_22,ID_9,ID_58
75,ID_26,ID_21,ID_31,ID_70,0_ID_NA,ID_22,ID_9
76,ID_26,ID_21,ID_70,ID_31,ID_58,ID_9,ID_22
102,ID_16,ID_22,ID_69,ID_18,ID_42,ID_4,0_ID_NA
103,ID_4,0_ID_NA,ID_22,ID_5,ID_16,ID_18,ID_9
104,ID_3,ID_56,ID_28,ID_50,ID_15,ID_44,ID_71
105,ID_22,ID_69,ID_4,ID_18,ID_27,ID_16,ID_42
106,ID_19,ID_81,ID_35,ID_7,ID_74,ID_1,ID_40
107,ID_25,ID_58,ID_36,ID_57,ID_63,ID_9,ID_10
108,ID_2,ID_75,ID_80,ID_14,ID_13,ID_79,ID_29
109,ID_14,ID_2,ID_13,ID_24,ID_53,ID_83,ID_48
110,ID_12,ID_58,ID_66,ID_10,ID_11,ID_63,ID_44
111,ID_18,ID_4,ID_22,ID_69,ID_16,0_ID_NA,ID_70
112,ID_15,ID_50,ID_56,ID_71,ID_3,ID_20,ID_28
113,ID_21,ID_26,ID_22,ID_70,ID_9,ID_55,ID_31
114,ID_13,ID_14,ID_56,ID_2,ID_80,ID_3,ID_79
115,ID_7,ID_43,ID_30,ID_23,ID_19,ID_75,ID_36
116,ID_23,ID_7,ID_43,ID_44,ID_75,ID_51,ID_36
117,ID_9,ID_22,ID_36,ID_58,ID_30,ID_52,ID_57
118,0_ID_NA,ID_22,ID_32,ID_58,0_ID_NA,ID_77,ID_54
119,ID_6,ID_61,ID_64,ID_46,ID_39,ID_76,ID_37
120,ID_11,ID_10,ID_66,ID_12,ID_49,ID_30,ID_67
121,ID_10,ID_30,ID_58,ID_36,ID_57,ID_25,ID_52
122,ID_24,ID_80,ID_83,ID_53,ID_47,ID_32,ID_14
