"","dataset1a[, 1]","Round","MF","Class","Convo"
"672","ID_94",4,1,2,5
"673","ID_26",4,1,2,1
"674","ID_97",4,1,2,1
"675","ID_31",4,1,2,1
"676","ID_164",4,1,10,4
"677","ID_165",4,1,10,2
"678","ID_166",4,1,10,2
"679","ID_167",4,1,10,5
"680","ID_168",4,1,10,1
"681","ID_169",4,1,10,3
"682","ID_170",4,1,10,3
"683","ID_171",4,1,10,2
"684","ID_172",4,1,10,3
"685","ID_173",4,1,10,1
"686","ID_174",4,1,10,3
"687","ID_175",4,1,10,1
"688","ID_176",4,1,10,2
"689","ID_177",4,1,10,3
"690","ID_178",4,1,10,NA
"691","ID_6",4,1,10,5
"692","ID_179",4,1,10,2
"693","ID_180",4,1,10,3
"694","ID_181",4,1,10,3
"695","ID_182",4,1,10,NA
"696","ID_183",4,1,10,1
"697","ID_184",4,1,10,3
"698","ID_185",4,1,10,5
"699","ID_186",4,1,10,2
"700","ID_146",4,1,10,5
"701","ID_187",4,1,10,1
"916","ID_102",3,1,7,2
"917","ID_188",3,1,7,4
"918","ID_103",3,1,7,1
"919","0_ID_NA",3,1,7,1
"920","ID_189",3,1,7,5
"921","ID_116",3,1,7,2
"922","ID_92",3,1,7,3
"923","ID_105",3,1,7,5
"924","ID_99",3,1,NA,5
"925","ID_69",3,1,7,5
"926","ID_112",3,1,7,5
"927","ID_115",3,1,7,2
"928","ID_106",3,1,7,4
"929","ID_109",3,1,7,5
"930","ID_104",3,1,7,5
"931","ID_114",3,1,7,3
"932","ID_113",3,1,7,2
"933","ID_101",3,1,7,4
"934","ID_110",3,1,7,5
"935","ID_118",3,1,7,2
"936","ID_111",3,1,7,4
"937","ID_117",3,1,7,2
"938","ID_62",3,1,3,1
"939","ID_47",3,1,3,NA
"940","0_ID_NA",3,1,NA,3
"941","ID_52",3,1,3,4
"942","0_ID_NA",3,1,NA,4
"943","ID_50",3,1,3,2
"944","ID_49",3,1,3,2
"945","ID_58",3,1,3,2
"946","ID_76",3,1,3,2
"947","ID_60",3,1,3,2
"948","ID_59",3,1,3,2
"949","ID_46",3,1,10,5
"950","ID_61",3,1,3,3
"951","ID_91",3,1,3,3
"952","ID_57",3,1,3,2
"953","ID_66",3,1,3,3
"954","ID_55",3,1,3,1
"955","ID_51",3,1,3,3
"956","ID_64",3,1,NA,2
"957","ID_65",3,1,3,1
"958","ID_45",3,1,3,2
"959","ID_42",3,1,2,2
"960","ID_27",3,1,2,5
"961","ID_32",3,1,2,5
"962","ID_40",3,1,2,4
"963","ID_34",3,1,2,3
"964","ID_94",3,1,2,5
"965","ID_30",3,1,2,2
"966","ID_29",3,1,2,3
"967","ID_38",3,1,2,3
"968","ID_36",3,1,2,2
"969","ID_33",3,1,2,5
"970","ID_44",3,1,2,4
"971","ID_43",3,1,2,2
"972","ID_35",3,1,NA,2
"973","ID_41",3,1,2,3
"974","ID_37",3,1,2,5
"975","ID_96",3,1,2,5
"976","ID_24",3,1,2,5
"977","ID_26",3,1,2,1
"978","ID_97",3,1,2,2
"979","ID_31",3,1,2,2
"980","ID_39",3,1,2,5
"981","ID_28",3,1,2,2
"982","ID_95",3,1,2,3
