"","p1","c1","c2","c3","c4","c5","c6"
"31","ID_30","ID_49","ID_119","ID_61","ID_96","ID_93","ID_188"
"32","ID_31","ID_197","ID_97","ID_61","ID_30","ID_87","ID_154"
"33","ID_32","ID_41","ID_6","ID_99","ID_60","ID_201","ID_8"
"34","ID_33","ID_41","ID_18","0_ID_NA","ID_43","ID_92","ID_37"
"35","ID_34","ID_67","ID_20","ID_118","ID_43","ID_24","ID_36"
"36","ID_35","ID_95","ID_158","ID_130","ID_27","ID_36","ID_160"
"37","ID_36","ID_21","ID_57","ID_43","ID_35","ID_95","ID_34"
"38","ID_37","ID_41","ID_6","ID_111","ID_150","ID_20","ID_44"
"39","ID_38","ID_24","ID_159","ID_39","ID_182","ID_184","ID_30"
"40","ID_39","ID_159","ID_95","ID_6","ID_86","ID_37","ID_43"
"41","ID_40","ID_24","ID_17","ID_194","ID_113","ID_2","ID_55"
"42","ID_41","ID_20","ID_6","ID_37","ID_150","ID_111","ID_92"
"43","ID_42","ID_45","ID_51","ID_175","ID_79","0_ID_NA","0_ID_NA"
"44","ID_43","ID_122","ID_118","ID_67","ID_159","ID_95","ID_39"
"45","ID_44","ID_37","ID_63","ID_111","ID_99","ID_57","ID_164"
"46","ID_45","ID_23","ID_147","ID_161","ID_69","ID_60","ID_133"
"47","ID_46","ID_153","ID_47","ID_54","ID_126","ID_177","0_ID_NA"
"48","ID_47","ID_59","ID_3","ID_60","ID_130","ID_50","ID_64"
"49","ID_48","ID_67","ID_42","ID_47","ID_95","ID_121","ID_62"
"50","ID_49","ID_197","ID_61","ID_30","ID_154","ID_93","ID_87"
"51","ID_50","ID_59","ID_60","ID_125","ID_57","ID_69","ID_99"
"52","ID_51","ID_65","ID_11","ID_142","ID_151","ID_19","ID_105"
"53","ID_52","ID_53","ID_54","ID_126","ID_200","ID_174","ID_135"
"54","ID_53","ID_126","ID_52","ID_4","ID_177","ID_54","ID_174"
"55","ID_54","ID_4","ID_200","ID_174","ID_126","ID_52","ID_165"
"56","ID_55","ID_24","ID_194","ID_61","ID_113","ID_2","ID_74"
"57","ID_56","ID_63","ID_150","ID_52","ID_60","ID_157","ID_59"
"58","ID_57","ID_174","ID_63","ID_56","ID_52","ID_15","ID_54"
"59","ID_58","ID_137","ID_72","ID_41","ID_111","ID_129","0_ID_NA"
"60","ID_59","ID_50","0_ID_NA","ID_125","ID_57","ID_63","ID_5"
"61","ID_60","ID_186","ID_80","ID_97","ID_59","ID_8","0_ID_NA"
"62","ID_61","ID_61","ID_181","ID_74","ID_87","ID_154","ID_49"
"63","ID_62","ID_51","ID_121","ID_69","ID_108","ID_127","ID_91"
"64","ID_63","ID_57","ID_21","ID_126","ID_183","ID_53","ID_54"
"65","ID_64","ID_194","ID_24","ID_2","ID_55","ID_133","ID_192"
"66","ID_65","ID_143","ID_51","ID_11","ID_151","ID_19","ID_9"
"67","ID_66","ID_189","ID_45","ID_160","ID_11","ID_75","ID_162"
"68","ID_67","ID_88","ID_90","ID_161","ID_89","ID_74","ID_34"
"69","ID_68","ID_20","ID_70","ID_71","ID_43","ID_57","ID_92"
"70","ID_69","ID_67","ID_45","ID_155","ID_89","ID_78","ID_74"
"71","ID_70","ID_110","ID_84","ID_156","ID_154","ID_109","ID_68"
"72","ID_71","ID_36","ID_57","ID_174","ID_92","ID_194","ID_43"
"73","ID_72","ID_112","ID_172","ID_162","ID_86","ID_170","ID_188"
"74","ID_73","ID_155","ID_139","ID_78","ID_83","ID_141","ID_51"
"75","ID_74","ID_67","ID_22","ID_79","ID_54","ID_90","ID_34"
"76","ID_75","ID_125","ID_150","ID_159","ID_83","ID_82","ID_5"
"77","ID_76","ID_131","ID_149","ID_150","ID_126","ID_89","ID_20"
"78","ID_77","ID_194","ID_17","ID_2","ID_72","ID_70","ID_16"
"79","ID_78","ID_125","ID_73","ID_21","ID_155","ID_79","ID_124"
"80","ID_79","ID_9","ID_125","ID_78","ID_51","ID_90","ID_73"
"81","ID_80","ID_86","ID_84","ID_92","ID_118","ID_24","ID_43"
"82","ID_81","ID_111","ID_6","ID_150","ID_37","ID_20","ID_41"
"83","ID_82","ID_8","ID_125","ID_99","ID_23","ID_75","ID_130"
"84","ID_83","ID_126","ID_125","ID_147","ID_165","ID_173","ID_79"
"85","ID_84","ID_80","ID_193","ID_2","ID_109","ID_70","ID_154"
"86","ID_85","ID_76","ID_42","ID_150","ID_22","ID_74","ID_160"
"87","ID_86","ID_3","ID_160","ID_39","ID_72","ID_95","ID_139"
"88","ID_87","ID_154","ID_61","ID_9","ID_93","0_ID_NA","ID_74"
"89","ID_88","ID_67","ID_166","ID_177","ID_21","ID_90","ID_151"
"90","ID_89","ID_171","ID_115","ID_3","ID_190","ID_104","0_ID_NA"
"91","ID_90","ID_67","ID_88","ID_166","ID_34","ID_75","ID_43"
"92","ID_62","ID_202","ID_127","ID_64","ID_191","ID_67","ID_74"
"93","ID_53","ID_126","ID_54","ID_200","ID_177","ID_52","ID_149"
"94","ID_91","ID_67","0_ID_NA","ID_74","ID_42","ID_121","ID_64"
"95","ID_52","ID_174","ID_200","ID_53","ID_126","ID_54","0_ID_NA"
"96","ID_92","ID_149","ID_161","ID_189","ID_32","ID_45","ID_33"
"97","ID_64","ID_24","ID_45","ID_55","ID_60","ID_194","ID_120"
"98","ID_47","ID_19","ID_102","ID_137","ID_173","ID_149","ID_148"
"99","ID_60","ID_50","ID_51","ID_145","ID_99","ID_45","ID_33"
"100","ID_50","ID_59","ID_57","ID_60","ID_15","ID_69","ID_157"
"101","ID_58","ID_41","ID_111","ID_72","ID_56","ID_137","ID_37"
"102","ID_57","ID_59","ID_50","ID_15","ID_54","ID_174","ID_52"
"103","ID_49","ID_61","ID_30","0_ID_NA","ID_93","ID_74","ID_154"
"104","ID_54","ID_52","ID_177","ID_53","ID_174","ID_4","ID_200"
"105","ID_61","ID_181","ID_49","ID_61","ID_154","ID_74","ID_9"
"106","ID_55","ID_24","ID_64","ID_61","ID_14","ID_2","ID_58"
"107","ID_56","ID_81","ID_52","ID_150","ID_59","ID_63","ID_157"
"108","ID_45","ID_161","ID_60","ID_125","ID_133","ID_23","ID_64"
"109","ID_59","ID_50","ID_57","ID_125","0_ID_NA","ID_60","ID_15"
"110","ID_93","ID_19","ID_11","ID_65","ID_151","ID_142","ID_105"
"111","ID_46","ID_147","ID_61","ID_173","ID_87","ID_185","0_ID_NA"
"112","ID_94","ID_76","ID_44","ID_149","ID_37","ID_196","0_ID_NA"
"113","ID_33","ID_41","ID_32","0_ID_NA","ID_37","ID_92","ID_99"
"114","ID_25","ID_28","ID_86","ID_123","ID_159","ID_29","ID_39"
"115","ID_40","ID_142","ID_85","ID_24","ID_17","ID_165","ID_77"
"116","ID_32","ID_8","ID_96","ID_99","ID_33","ID_44","ID_41"
"117","ID_27","ID_173","ID_102","ID_126","ID_66","ID_131","ID_34"
"118","ID_31","ID_61","ID_9","ID_197","ID_50","ID_6","ID_158"
"119","ID_29","ID_135","ID_178","ID_126","ID_165","ID_174","ID_32"
"120","ID_95","ID_43","ID_39","ID_159","ID_155","ID_36","ID_51"
"121","ID_96","ID_10","ID_32","ID_92","ID_44","ID_63","ID_104"
"122","ID_44","ID_37","ID_63","ID_99","ID_167","ID_111","ID_94"
"123","ID_39","ID_86","ID_74","ID_95","ID_159","ID_71","0_ID_NA"
"124","ID_37","ID_111","ID_41","ID_92","ID_6","ID_20","ID_150"
"125","ID_36","ID_200","ID_35","ID_95","ID_43","ID_34","ID_174"
"126","ID_30","ID_49","ID_38","ID_97","ID_119","ID_93","0_ID_NA"
"127","ID_35","ID_141","ID_90","ID_60","ID_88","ID_36","ID_21"
"128","ID_34","ID_20","ID_41","ID_162","ID_6","ID_37","ID_67"
"129","ID_24","ID_55","ID_133","ID_40","ID_162","ID_172","ID_189"
"130","ID_41","ID_111","ID_6","ID_37","ID_150","ID_20","ID_33"
"131","ID_26","ID_97","ID_49","ID_52","ID_194","ID_122","ID_61"
"132","ID_97","ID_61","0_ID_NA","ID_93","ID_181","ID_30","ID_26"
"133","0_ID_NA","ID_31","ID_182","ID_194","0_ID_NA","ID_2","ID_163"
"134","ID_42","ID_43","ID_182","ID_163","ID_47","ID_21","0_ID_NA"
"135","ID_43","ID_122","ID_118","ID_67","ID_39","ID_159","ID_95"
"136","ID_99","ID_150","ID_75","ID_126","ID_5","ID_160","ID_10"
"137","ID_100","ID_5","ID_41","ID_33","ID_131","ID_99","ID_201"
"138","ID_101","ID_169","ID_41","ID_105","ID_24","ID_37","ID_162"
"139","ID_102","ID_27","ID_130","ID_181","ID_177","ID_131","ID_45"
"140","ID_103","ID_142","ID_30","ID_25","ID_17","ID_49","ID_109"
"141","ID_104","ID_10","ID_152","ID_96","ID_92","ID_179","ID_111"
"142","ID_105","ID_51","ID_101","ID_171","ID_89","0_ID_NA","0_ID_NA"
"143","ID_106","ID_173","ID_83","ID_120","ID_27","ID_102","ID_165"
"144","ID_107","ID_47","ID_128","ID_131","ID_104","ID_99","ID_91"
"145","ID_108","ID_62","ID_137","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"146","0_ID_NA","ID_76","ID_75","ID_160","ID_149","ID_131","ID_117"
"147","ID_109","ID_110","ID_84","ID_156","0_ID_NA","0_ID_NA","0_ID_NA"
"148","ID_110","ID_156","ID_70","ID_109","ID_118","0_ID_NA","0_ID_NA"
"149","ID_111","ID_92","ID_37","ID_20","ID_150","ID_6","ID_41"
"150","ID_92","ID_111","0_ID_NA","ID_10","ID_37","ID_96","ID_41"
"151","ID_112","ID_165","ID_72","ID_199","ID_93","ID_115","ID_162"
"152","ID_113","ID_194","ID_2","ID_187","ID_116","ID_55","ID_24"
"153","ID_114","ID_9","ID_154","ID_61","0_ID_NA","ID_181","ID_93"
"154","ID_115","ID_43","ID_118","ID_122","ID_112","ID_162","ID_189"
"155","ID_116","ID_194","ID_2","ID_113","ID_122","ID_117","ID_90"
"156","ID_117","ID_189","ID_2","ID_194","ID_90","ID_116","ID_17"
"157","ID_69","ID_178","ID_23","ID_29","ID_165","ID_39","ID_126"
"158","ID_118","ID_43","ID_122","ID_115","ID_112","ID_162","ID_16"
"159","ID_119","ID_30","ID_49","ID_9","ID_154","ID_93","ID_138"
"160","ID_120","ID_125","ID_106","ID_173","ID_102","ID_27","ID_147"
"161","ID_121","ID_59","ID_55","ID_173","ID_27","ID_108","ID_62"
"162","ID_122","ID_43","ID_118","ID_34","ID_16","ID_194","ID_67"
"163","ID_61","ID_61","ID_114","ID_9","ID_154","ID_119","ID_181"
"164","ID_123","ID_167","ID_4","ID_59","ID_76","ID_165","ID_5"
"165","ID_124","ID_130","ID_120","ID_125","ID_155","ID_106","ID_39"
"166","ID_125","ID_78","ID_83","ID_124","ID_130","ID_59","ID_89"
"167","ID_126","ID_53","ID_177","ID_174","ID_4","ID_52","ID_54"
"168","ID_127","ID_120","ID_125","ID_173","ID_147","ID_126","ID_133"
"169","ID_128","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"170","ID_85","ID_180","ID_183","ID_26","ID_56","ID_179","0_ID_NA"
"171","ID_28","ID_172","ID_58","ID_24","ID_43","ID_129","ID_93"
"172","ID_129","ID_162","ID_133","ID_16","ID_7","ID_176","ID_131"
"173","ID_130","ID_126","ID_125","ID_148","ID_131","ID_124","ID_102"
"174","ID_93","ID_49","ID_112","ID_9","ID_72","ID_114","ID_97"
"175","ID_131","ID_20","ID_5","ID_1","ID_125","ID_72","ID_100"
"176","ID_132","ID_24","ID_55","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"177","ID_133","ID_194","ID_198","ID_64","ID_162","ID_2","ID_16"
"178","ID_134","ID_136","ID_187","ID_146","ID_182","ID_122","ID_177"
"179","ID_135","ID_14","ID_37","ID_170","ID_176","ID_150","ID_92"
"180","ID_136","ID_146","ID_187","ID_182","ID_134","ID_122","ID_87"
"181","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"182","ID_137","ID_169","ID_63","ID_139","ID_115","ID_135","ID_123"
"183","ID_138","ID_165","ID_21","ID_51","ID_125","ID_139","ID_78"
"184","ID_139","ID_137","ID_51","ID_179","ID_123","ID_141","0_ID_NA"
"185","ID_140","ID_151","ID_84","ID_154","ID_142","ID_150","ID_159"
"186","ID_141","ID_139","ID_73","ID_201","ID_41","ID_179","ID_6"
"187","ID_142","ID_17","ID_103","ID_40","ID_156","ID_195","ID_165"
"188","ID_143","ID_65","ID_51","ID_19","ID_11","ID_151","ID_94"
"189","ID_144","ID_87","ID_89","ID_136","ID_194","ID_187","ID_180"
"190","ID_145","ID_149","ID_72","ID_194","ID_92","ID_150","ID_4"
"191","ID_50","ID_112","ID_91","ID_109","ID_181","ID_154","ID_72"
"192","ID_146","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"193","ID_147","ID_4","ID_67","ID_83","ID_73","ID_53","ID_21"
"194","ID_148","ID_88","ID_116","ID_90","ID_130","ID_67","ID_13"
"195","ID_41","ID_141","ID_32","ID_99","ID_125","ID_131","ID_179"
"196","ID_149","ID_147","ID_54","ID_10","ID_145","ID_125","ID_160"
"197","ID_150","ID_20","ID_111","ID_6","ID_37","ID_92","ID_125"
"198","ID_151","ID_148","ID_133","ID_140","ID_11","ID_69","ID_51"
"199","ID_152","ID_179","ID_157","ID_164","ID_68","ID_160","ID_149"
"200","ID_153","ID_113","ID_152","ID_115","ID_179","ID_154","ID_147"
"201","ID_154","ID_9","ID_87","ID_199","ID_93","ID_61","ID_162"
"202","ID_155","ID_125","ID_24","ID_73","ID_141","ID_83","ID_43"
"203","ID_156","ID_165","ID_70","ID_142","ID_110","ID_95","ID_131"
"204","ID_157","ID_56","ID_43","ID_39","ID_50","ID_10","ID_57"
"205","ID_158","ID_149","ID_147","ID_54","0_ID_NA","ID_21","ID_130"
"206","ID_159","ID_92","ID_6","ID_80","ID_86","ID_36","ID_149"
"207","ID_131","ID_131","ID_165","ID_181","ID_112","ID_93","ID_72"
"208","ID_160","ID_63","ID_21","ID_99","ID_78","ID_5","ID_122"
"209","ID_75","ID_150","ID_82","ID_125","ID_160","ID_99","ID_5"
"210","ID_68","ID_152","ID_123","ID_80","ID_58","ID_94","ID_176"
"211","ID_87","ID_154","ID_80","ID_9","ID_61","ID_84","0_ID_NA"
"212","0_ID_NA","ID_177","ID_90","ID_67","0_ID_NA","ID_43","ID_21"
"213","ID_73","ID_139","ID_155","ID_141","ID_78","ID_51","ID_110"
"214","ID_85","ID_150","ID_125","ID_160","ID_22","ID_76","ID_124"
"215","ID_84","ID_80","ID_9","ID_154","ID_87","ID_61","0_ID_NA"
"216","ID_70","ID_84","ID_110","ID_156","ID_68","ID_109","ID_18"
"217","ID_77","ID_17","ID_194","ID_16","ID_117","ID_109","ID_26"
"218","0_ID_NA","ID_165","ID_112","ID_199","ID_86","ID_93","ID_162"
"219","ID_86","ID_159","ID_39","ID_95","ID_160","ID_130","ID_139"
"220","ID_89","ID_171","ID_104","ID_3","ID_195","ID_176","0_ID_NA"
"221","ID_67","ID_74","ID_88","ID_90","ID_83","ID_161","ID_89"
"222","ID_69","ID_76","ID_27","ID_102","ID_37","ID_83","ID_169"
"223","ID_81","ID_20","ID_6","ID_150","ID_111","0_ID_NA","0_ID_NA"
"224","ID_78","ID_125","ID_155","ID_160","ID_21","0_ID_NA","0_ID_NA"
"225","ID_80","ID_84","ID_81","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"226","ID_74","ID_67","ID_22","ID_196","ID_90","ID_88","ID_145"
"227","ID_82","ID_23","ID_75","ID_125","ID_160","ID_8","ID_157"
"228","ID_76","ID_149","ID_69","ID_102","ID_131","ID_126","ID_5"
"229","ID_83","ID_189","ID_165","ID_126","ID_147","ID_131","ID_110"
"230","ID_161","ID_67","ID_169","ID_88","ID_125","ID_82","ID_155"
"231","ID_65","ID_19","ID_51","ID_143","ID_18","ID_11","ID_9"
"232","ID_51","ID_143","ID_19","ID_65","ID_151","ID_11","ID_105"
"233","ID_162","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"234","ID_47","ID_161","ID_3","ID_177","ID_60","ID_56","ID_57"
"235","ID_58","ID_137","ID_169","ID_41","ID_72","ID_111","ID_123"
"236","ID_52","ID_177","ID_174","ID_4","ID_54","ID_165","ID_126"
"237","ID_54","ID_53","ID_4","ID_52","ID_177","ID_174","ID_200"
"238","ID_66","ID_32","ID_173","ID_160","ID_45","ID_33","ID_124"
"239","ID_163","ID_139","0_ID_NA","ID_8","ID_179","0_ID_NA","0_ID_NA"
"240","ID_48","ID_56","ID_67","ID_88","ID_21","ID_121","ID_74"
"241","ID_49","ID_61","ID_30","0_ID_NA","ID_87","ID_93","ID_119"
"242","ID_61","ID_49","ID_9","ID_61","ID_181","ID_30","ID_93"
"243","ID_56","ID_157","ID_45","ID_68","ID_58","ID_63","ID_59"
"244","ID_57","ID_50","ID_111","ID_41","ID_164","ID_63","ID_15"
"245","ID_55","ID_24","ID_64","ID_61","ID_97","0_ID_NA","ID_114"
"246","ID_53","ID_52","ID_4","ID_177","ID_126","ID_54","ID_174"
"247","ID_45","ID_56","ID_23","ID_22","ID_87","ID_83","ID_125"
"248","ID_50","ID_60","ID_57","ID_59","ID_15","ID_56","ID_157"
"249","ID_59","ID_50","ID_125","ID_57","ID_60","ID_63","ID_56"
"250","ID_60","ID_50","ID_57","ID_51","ID_186","ID_188","ID_59"
"251","ID_62","ID_138","ID_48","ID_127","ID_27","0_ID_NA","0_ID_NA"
"252","ID_32","ID_10","ID_8","ID_96","ID_41","ID_33","ID_139"
"253","ID_42","ID_37","ID_26","ID_88","ID_21","ID_51","ID_122"
"254","ID_96","ID_44","ID_32","ID_10","ID_63","ID_92","ID_5"
"255","ID_29","ID_167","ID_174","ID_126","ID_135","ID_165","ID_15"
"256","ID_38","ID_24","ID_9","ID_40","ID_122","ID_97","ID_26"
"257","ID_95","ID_39","ID_139","ID_159","ID_86","ID_35","ID_51"
"258","ID_40","ID_24","ID_142","ID_17","ID_103","ID_109","ID_77"
"259","ID_37","ID_41","ID_20","ID_111","ID_6","ID_92","ID_44"
"260","ID_41","ID_37","ID_20","ID_111","ID_33","ID_6","ID_44"
"261","ID_75","ID_95","ID_90","ID_21","ID_74","ID_130","ID_67"
"262","ID_33","ID_41","ID_37","ID_20","0_ID_NA","ID_10","ID_92"
"263","ID_27","ID_173","ID_147","ID_83","ID_131","ID_120","ID_102"
"264","ID_44","ID_37","ID_96","ID_41","ID_94","ID_20","ID_111"
"265","ID_24","ID_55","ID_64","ID_40","ID_160","ID_133","ID_172"
"266","ID_39","ID_86","ID_6","ID_95","ID_159","ID_54","ID_71"
"267","ID_43","ID_122","ID_118","ID_67","ID_115","ID_39","ID_159"
"268","ID_30","ID_49","ID_9","ID_119","ID_31","ID_96","ID_93"
"269","ID_34","ID_37","ID_20","ID_122","ID_24","ID_43","0_ID_NA"
"270","ID_36","ID_95","ID_34","ID_54","ID_35","ID_200","ID_21"
"271","ID_28","ID_195","ID_144","ID_159","ID_182","ID_31","ID_101"
"272","ID_94","ID_44","ID_69","ID_76","ID_102","ID_149","ID_131"
"273","ID_26","ID_181","ID_30","ID_97","ID_52","ID_131","ID_61"
"274","ID_97","ID_61","0_ID_NA","ID_93","ID_181","ID_30","ID_26"
"275","ID_31","ID_61","ID_154","ID_197","ID_9","ID_87","ID_49"
"276","ID_164","ID_57","ID_15","ID_179","ID_165","ID_174","ID_6"
"277","ID_165","ID_164","ID_156","ID_80","ID_72","ID_142","0_ID_NA"
"278","ID_166","ID_167","ID_65","ID_172","ID_162","ID_200","ID_189"
"279","ID_167","ID_166","ID_63","ID_135","ID_170","ID_15","ID_123"
"280","ID_168","ID_91","ID_69","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"281","ID_169","ID_137","ID_6","ID_135","ID_150","ID_185","ID_165"
"282","ID_170","ID_99","ID_167","ID_200","ID_1","ID_125","ID_178"
"283","ID_171","ID_105","ID_3","ID_89","ID_187","ID_146","ID_177"
"284","ID_172","ID_24","ID_131","ID_162","ID_112","ID_166","ID_65"
"285","ID_173","ID_46","ID_22","ID_106","ID_147","ID_83","ID_27"
"286","ID_174","ID_126","ID_165","ID_4","ID_177","ID_52","ID_54"
"287","ID_175","ID_149","ID_76","ID_69","ID_102","ID_37","ID_111"
"288","ID_176","ID_58","ID_56","ID_179","ID_169","ID_137","ID_177"
"289","ID_177","ID_54","ID_174","ID_126","ID_4","0_ID_NA","ID_11"
"290","ID_178","ID_29","ID_170","ID_69","ID_135","ID_4","0_ID_NA"
"291","ID_6","ID_159","ID_39","ID_164","ID_179","ID_169","ID_71"
"292","ID_179","ID_152","ID_180","ID_164","ID_139","ID_165","ID_51"
"293","ID_180","ID_144","ID_80","ID_175","ID_137","ID_171","ID_194"
"294","ID_181","ID_199","ID_61","0_ID_NA","ID_97","ID_74","ID_93"
"295","ID_182","ID_2","ID_136","ID_194","ID_187","ID_116","ID_146"
"296","ID_183","ID_85","ID_187","ID_180","ID_177","0_ID_NA","ID_122"
"297","ID_184","ID_52","ID_126","ID_174","ID_165","ID_169","ID_178"
"298","ID_185","ID_65","ID_51","ID_169","ID_19","0_ID_NA","0_ID_NA"
"299","ID_186","ID_41","ID_139","ID_179","ID_164","ID_167","ID_51"
"300","ID_146","ID_187","ID_136","ID_139","ID_134","ID_185","ID_192"
"301","ID_187","ID_136","ID_146","ID_134","ID_182","ID_24","ID_183"
"302","ID_102","ID_27","ID_173","ID_59","ID_130","ID_53","ID_138"
"303","ID_188","ID_99","ID_59","ID_116","ID_21","ID_104","ID_130"
"304","ID_103","ID_142","ID_110","ID_156","ID_197","ID_109","ID_61"
"305","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"306","ID_189","ID_76","ID_117","ID_160","ID_75","ID_125","ID_130"
"307","ID_116","ID_194","ID_82","ID_117","ID_16","ID_113","ID_107"
"308","ID_92","ID_10","ID_37","ID_111","ID_96","ID_63","ID_189"
"309","ID_105","ID_101","ID_171","ID_89","ID_50","ID_4","ID_63"
"310","ID_99","ID_75","ID_160","ID_10","ID_126","ID_5","ID_107"
"311","ID_69","ID_165","ID_174","ID_126","ID_29","ID_178","ID_198"
"312","ID_112","ID_93","ID_165","ID_72","ID_162","ID_199","ID_172"
"313","ID_115","ID_112","ID_118","ID_43","ID_122","ID_185","ID_110"
"314","ID_106","ID_120","ID_83","ID_126","ID_53","ID_173","ID_21"
"315","ID_109","ID_110","ID_146","ID_40","ID_136","ID_84","ID_17"
"316","ID_104","ID_152","ID_96","ID_10","ID_164","ID_92","ID_170"
"317","ID_114","ID_61","0_ID_NA","ID_9","ID_93","ID_154","ID_181"
"318","ID_113","ID_194","ID_187","ID_2","ID_40","ID_24","ID_55"
"319","ID_101","ID_169","ID_113","ID_137","ID_41","ID_105","ID_37"
"320","ID_110","ID_70","ID_156","ID_109","ID_2","ID_165","ID_131"
"321","ID_118","ID_43","ID_122","ID_71","ID_115","ID_162","ID_16"
"322","ID_111","ID_92","ID_150","ID_37","ID_41","ID_20","ID_81"
"323","ID_117","ID_189","ID_17","ID_15","ID_133","ID_64","ID_71"
"324","ID_62","ID_138","ID_48","ID_127","ID_67","ID_74","ID_64"
"325","ID_47","ID_137","ID_3","ID_45","ID_121","ID_52","ID_15"
"326","0_ID_NA","ID_52","ID_174","ID_53","ID_126","ID_4","0_ID_NA"
"327","ID_52","ID_174","ID_4","ID_126","ID_54","ID_53","0_ID_NA"
"328","0_ID_NA","ID_52","ID_177","ID_126","ID_4","ID_54","ID_174"
"329","ID_50","ID_160","ID_57","ID_15","ID_60","ID_157","ID_123"
"330","ID_49","ID_61","ID_30","ID_93","0_ID_NA","ID_87","ID_154"
"331","ID_58","ID_72","0_ID_NA","ID_41","ID_137","ID_56","ID_101"
"332","ID_76","ID_63","ID_52","ID_58","ID_68","ID_57","ID_157"
"333","ID_60","ID_50","0_ID_NA","ID_99","0_ID_NA","ID_15","ID_123"
"334","ID_59","ID_50","ID_57","ID_125","ID_5","ID_15","ID_60"
"335","ID_46","ID_173","ID_174","ID_131","0_ID_NA","ID_165","ID_40"
"336","ID_61","ID_49","ID_181","ID_61","ID_93","ID_154","ID_30"
"337","ID_91","ID_67","ID_166","ID_74","ID_121","ID_202","ID_75"
"338","ID_57","ID_54","ID_52","ID_63","ID_174","ID_41","ID_37"
"339","ID_66","ID_131","ID_173","ID_75","ID_62","ID_160","ID_76"
"340","ID_55","ID_24","ID_113","ID_2","ID_180","ID_97","0_ID_NA"
"341","ID_51","ID_105","ID_143","ID_65","ID_151","ID_19","ID_11"
"342","ID_64","ID_24","ID_193","ID_173","ID_55","ID_150","ID_133"
"343","ID_65","ID_19","ID_11","ID_51","ID_151","ID_143","ID_9"
"344","ID_45","ID_23","ID_75","ID_22","ID_125","ID_161","ID_147"
"345","ID_42","ID_21","ID_37","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"346","ID_27","ID_173","ID_66","ID_102","ID_120","ID_131","ID_165"
"347","ID_32","ID_96","ID_33","ID_41","ID_82","ID_10","ID_8"
